"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J20,J21";"SHDR5W110P0X254_1X5_1310X650X850P";2;"OSTVN05A150";;;
2;"G***,G***";"3rdWave_10mm_Logo";2;"3rdWaveLabs";;;
3;"JP4";"SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm";1;"ADC_ADD(1)";;;
4;"JP3";"SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm";1;"DAQ_ADD(1)";;;
5;"JP2";"SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm";1;"ADC_ADD(0)";;;
6;"JP1";"SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm";1;"DAQ_ADD(0)";;;
7;"D6,D2,D3,D4,D5";"SOT-323_SC-70";5;"BAT54SW";;;
8;"C1,C2,C3,C4,C5,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"C_Small";;;
9;"D1";"SOT-323_SC-70";1;"RTD0F+ CLMP";;;
10;"J1";"PinHeader_2x06_P2.54mm_Vertical";1;"Conn_02x06_Odd_Even";;;
11;"J3";"PinHeader_1x06_P2.54mm_Vertical";1;"MCP4725 DAC0";;;
12;"J4";"PinHeader_1x10_P2.54mm_Vertical";1;"ADS1115 ADC0";;;
13;"R1,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"4.3K";;;
14;"R9,R10,R3,R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"300";;;
15;"J10,J11";"PinHeader_1x05_P2.54mm_Vertical";2;"70553-0004";;;
16;"J5";"PinHeader_1x06_P2.54mm_Vertical";1;"MCP4725 DAC1";;;
17;"J6";"PinHeader_1x10_P2.54mm_Vertical";1;"ADS1115 ADC1";;;
18;"R5,R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"0 ohm";;;
